doc_id,run_id,source_type,source_name,source_url,source_version,accessed_at,published_at,local_path,checksum_sha256
SRC-pilot25_2026Q1_v1-FILING-AES-000087476126000063,pilot25_2026Q1_v1,filing,AES 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/aes-20251231.htm,0000874761-26-000063,2026-03-16T17:04:51.801Z,2026-03-02,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AES__000087476126000063__aes-20251231.htm,27d0b28318c6fdcd8855672787378cb707c0614c3342fa68c3449a8c923e274f
SRC-pilot25_2026Q1_v1-FILING-AFL-000162828026011402,pilot25_2026Q1_v1,filing,AFL 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/4977/000162828026011402/afl-20251231.htm,0001628280-26-011402,2026-03-16T17:04:51.801Z,2026-02-25,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AFL__000162828026011402__afl-20251231.htm,1bae135e75e396a4cefa97a14352d690f43ef5fe912ed8d4fbe0abf20e83c9da
SRC-pilot25_2026Q1_v1-FILING-AIG-000000527226000023,pilot25_2026Q1_v1,filing,AIG 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/5272/000000527226000023/aig-20251231.htm,0000005272-26-000023,2026-03-16T17:04:51.801Z,2026-02-12,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AIG__000000527226000023__aig-20251231.htm,97876d5abedd2a10eca9033749a4dd5caa91c73e17c30dab5a42a26d4dc6963c
SRC-pilot25_2026Q1_v1-FILING-AIZ-000126723826000010,pilot25_2026Q1_v1,filing,AIZ 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1267238/000126723826000010/aiz-20251231.htm,0001267238-26-000010,2026-03-16T17:04:51.801Z,2026-02-19,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AIZ__000126723826000010__aiz-20251231.htm,63463b438071a3bb1fa68528196c7db9bbb9fe22ad36c9b16d323d744ec6dade
SRC-pilot25_2026Q1_v1-FILING-AJG-000162828026008662,pilot25_2026Q1_v1,filing,AJG 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/354190/000162828026008662/ajg-20251231.htm,0001628280-26-008662,2026-03-16T17:04:51.801Z,2026-02-17,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AJG__000162828026008662__ajg-20251231.htm,5ec6326c59a11665a2ce5cce720da821f0bdfc0443d9af43b6b439189e062faf
SRC-pilot25_2026Q1_v1-FILING-AKAM-000108622226000022,pilot25_2026Q1_v1,filing,AKAM 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/akam-20251231.htm,0001086222-26-000022,2026-03-16T17:04:51.801Z,2026-02-20,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AKAM__000108622226000022__akam-20251231.htm,80456fa9510c48fb7eb00cc3c4b26accf1483a104b75c7aba3223f6427357708
SRC-pilot25_2026Q1_v1-FILING-ALB-000091591326000018,pilot25_2026Q1_v1,filing,ALB 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/alb-20251231.htm,0000915913-26-000018,2026-03-16T17:04:51.801Z,2026-02-11,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ALB__000091591326000018__alb-20251231.htm,60d1b238990e32ef8d51646e16f7a25f15bd94b4f1f36f436d660d84ccb9420e
SRC-pilot25_2026Q1_v1-FILING-ALGN-000109714926000014,pilot25_2026Q1_v1,filing,ALGN 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1097149/000109714926000014/algn-20251231.htm,0001097149-26-000014,2026-03-16T17:04:51.801Z,2026-02-27,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ALGN__000109714926000014__algn-20251231.htm,d8d2068cfa38d4ac8f9bbf94b20217eb2ed34e5078faf72561b4773eeb372484
SRC-pilot25_2026Q1_v1-FILING-ALL-000089905126000031,pilot25_2026Q1_v1,filing,ALL 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/899051/000089905126000031/all-20251231.htm,0000899051-26-000031,2026-03-16T17:04:51.801Z,2026-02-20,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ALL__000089905126000031__all-20251231.htm,1244bf9f1cb49df287a02120a3289a8d837ccf65c253b46e52572b32cf0fd3bf
SRC-pilot25_2026Q1_v1-FILING-ALLE-000157924126000007,pilot25_2026Q1_v1,filing,ALLE 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1579241/000157924126000007/alle-20251231.htm,0001579241-26-000007,2026-03-16T17:04:51.801Z,2026-02-17,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ALLE__000157924126000007__alle-20251231.htm,ceac5214956533d5f9ada188ebbc2b68907c5c7bcfd8017e29e90808aa5f26f5
SRC-pilot25_2026Q1_v1-FILING-AMAT-000162828025056742,pilot25_2026Q1_v1,filing,AMAT 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,0001628280-25-056742,2026-03-16T17:04:51.801Z,2025-12-12,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AMAT__000162828025056742__amat-20251026.htm,ef5a654f85a52c2aea2e11d88d984fcee206f9221b4f811e5a8a1403d20fd968
