run_id,ticker,company_name,cik,candidate_headcount,candidate_confidence,citation_id,source_url,filing_date,quote,review_status,verified_headcount,reviewer,reviewed_at,review_notes
pilot25_2026Q1_v1,ADP,Automatic Data Processing,0000008670,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,ADSK,Autodesk,0000769397,14300,high,CIT-pilot25_2026Q1_v1-ADSK-008,https://www.sec.gov/Archives/edgar/data/769397/000076939726000015/adsk-20260131.htm,2026-03-03,"As of January 31, 2026, we employed approximately 14,300 people, a decrease from approximately 15,300 employees as of the end of fiscal year 2025.",approved,14300,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,AEE,Ameren,0001002910,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,AEP,American Electric Power,0000004904,6994,medium,CIT-pilot25_2026Q1_v1-AEP-006,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,2026-02-12,"As of December 31, 2025, AEPSC had 6,994 employees.",pending,,codex-auto,2026-03-16T17:20:39.068Z,Left pending: not high-confidence total employee statement under strict auto policy.
pilot25_2026Q1_v1,AES,AES Corporation,0000874761,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,AFL,Aflac,0000004977,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,AIG,American International Group,0000005272,22100,medium,CIT-pilot25_2026Q1_v1-AIG-004,https://www.sec.gov/Archives/edgar/data/5272/000000527226000023/aig-20251231.htm,2026-02-12,"At December 31, 2025, we had approximately 22,100 employees based in approximately 45 countries, of which 27 percent are located in North America, 47 percent are in the Asia Pacific region and the remaining 26 percent are in the European, Middle East and Africa (EMEA region) and Latin America.",pending,,codex-auto,2026-03-16T17:20:39.068Z,Left pending: not high-confidence total employee statement under strict auto policy.
pilot25_2026Q1_v1,AIZ,Assurant,0001267238,14800,high,CIT-pilot25_2026Q1_v1-AIZ-009,https://www.sec.gov/Archives/edgar/data/1267238/000126723826000010/aiz-20251231.htm,2026-02-19,"As of December 31, 2025, Assurant had approximately 14,800 employees, representing more than 80 nationalities, with a presence in 21 markets globally.",approved,14800,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,AJG,Arthur J. Gallagher & Co.,0000354190,72000,high,CIT-pilot25_2026Q1_v1-AJG-009,https://www.sec.gov/Archives/edgar/data/354190/000162828026008662/ajg-20251231.htm,2026-02-17,"Human Capital As of December 31, 2025, we had approximately 72,000 employees, with approximately 47% in the U.S.",approved,72000,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,AKAM,Akamai Technologies,0001086222,11000,high,CIT-pilot25_2026Q1_v1-AKAM-005,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/akam-20251231.htm,2026-02-20,"As of December 31, 2025, we had over 11,000 employees located in more than 30 countries (with approximately 65% of those employees located outside of the U.S.) and representing over 100 nationalities, all of which we believe helps bring a global perspective to our operations.",approved,11000,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ALB,Albemarle Corporation,0000915913,7800,high,CIT-pilot25_2026Q1_v1-ALB-003,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/alb-20251231.htm,2026-02-11,"As of December 31, 2025, we had approximately 7,800 employees, including employees of our consolidated joint ventures, of whom 3,100, or 40%, are employed in the U.S.",approved,7800,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ALGN,Align Technology,0001097149,20290,high,CIT-pilot25_2026Q1_v1-ALGN-010,https://www.sec.gov/Archives/edgar/data/1097149/000109714926000014/algn-20251231.htm,2026-02-27,"As of December 31, 2025, we had approximately 20,290 employees, a decrease of approximately 3.1% and 6.1% over December 31, 2024, and December 31, 2023, respectively.",approved,20290,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ALL,Allstate,0000899051,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,ALLE,Allegion,0001579241,13300,high,CIT-pilot25_2026Q1_v1-ALLE-008,https://www.sec.gov/Archives/edgar/data/1579241/000157924126000007/alle-20251231.htm,2026-02-17,"As of December 31, 2025, we had approximately 13,300 employees worldwide.",approved,13300,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,AMAT,Applied Materials,0000006951,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,AVGO,Broadcom Inc.,0001730168,37000,high,CIT-pilot25_2026Q1_v1-DR-AVGO-001,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000069/avgo-20241027.htm,,"As of October 27, 2024, we had approximately 37,000 full-time employees.",approved,37000,deep-research-agent,2026-04-08T23:12:53.748Z,Auto-approved via deep research agent.
pilot25_2026Q1_v1,BRK.B,Berkshire Hathaway,0001067983,392400,high,CIT-pilot25_2026Q1_v1-DR-BRK.B-001,https://www.berkshirehathaway.com/2024ar/202410-k.pdf,,"Berkshire and its operating subsidiaries employed approximately 392,400 people worldwide at the end of 2024, of which approximately 80% were in the United States and 20% were represented by unions.",approved,392400,deep-research-agent,2026-04-08T23:12:53.748Z,Auto-approved via deep research agent.
pilot25_2026Q1_v1,CRM,"Salesforce, Inc.",0001108524,72682,high,CIT-pilot25_2026Q1_v1-DR-CRM-001,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000014/crm-20250131.htm,,"As of January 31, 2025, we had 72,682 full-time employees.",approved,72682,deep-research-agent,2026-04-08T23:12:53.748Z,Auto-approved via deep research agent.
pilot25_2026Q1_v1,TSLA,"Tesla, Inc.",0001318605,134785,high,CIT-pilot25_2026Q1_v1-DR-TSLA-001,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,,"As of December 31, 2025, our employee headcount worldwide was 134,785.",approved,134785,deep-research-agent,2026-04-08T23:12:53.748Z,Auto-approved via deep research agent.
