run_id,ticker,cik,company_name,form,filing_date,report_date,accession_number,primary_document,filing_url,submission_doc_id,submission_fetched_at,status
pilot25_2026Q1_v1,ADP,0000008670,Automatic Data Processing,10-K,2025-08-06,2025-06-30,0000008670-25-000037,adp-20250630.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867025000037/adp-20250630.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ADP,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ADSK,0000769397,Autodesk,10-K,2026-03-03,2026-01-31,0000769397-26-000015,adsk-20260131.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939726000015/adsk-20260131.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ADSK,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AEE,0001002910,Ameren,10-K,2026-02-18,2025-12-31,0001002910-26-000009,aee-20251231.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/aee-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AEE,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AEP,0000004904,American Electric Power,10-K,2026-02-12,2025-12-31,0000004904-26-000013,aep-20251231.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AEP,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AES,0000874761,AES Corporation,10-K,2026-03-02,2025-12-31,0000874761-26-000063,aes-20251231.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/aes-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AES,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AFL,0000004977,Aflac,10-K,2026-02-25,2025-12-31,0001628280-26-011402,afl-20251231.htm,https://www.sec.gov/Archives/edgar/data/4977/000162828026011402/afl-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AFL,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AIG,0000005272,American International Group,10-K,2026-02-12,2025-12-31,0000005272-26-000023,aig-20251231.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527226000023/aig-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AIG,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AIZ,0001267238,Assurant,10-K,2026-02-19,2025-12-31,0001267238-26-000010,aiz-20251231.htm,https://www.sec.gov/Archives/edgar/data/1267238/000126723826000010/aiz-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AIZ,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AJG,0000354190,Arthur J. Gallagher & Co.,10-K,2026-02-17,2025-12-31,0001628280-26-008662,ajg-20251231.htm,https://www.sec.gov/Archives/edgar/data/354190/000162828026008662/ajg-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AJG,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AKAM,0001086222,Akamai Technologies,10-K,2026-02-20,2025-12-31,0001086222-26-000022,akam-20251231.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/akam-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AKAM,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ALB,0000915913,Albemarle Corporation,10-K,2026-02-11,2025-12-31,0000915913-26-000018,alb-20251231.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/alb-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ALB,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ALGN,0001097149,Align Technology,10-K,2026-02-27,2025-12-31,0001097149-26-000014,algn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714926000014/algn-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ALGN,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ALL,0000899051,Allstate,10-K,2026-02-20,2025-12-31,0000899051-26-000031,all-20251231.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905126000031/all-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ALL,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ALLE,0001579241,Allegion,10-K,2026-02-17,2025-12-31,0001579241-26-000007,alle-20251231.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924126000007/alle-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ALLE,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AMAT,0000006951,Applied Materials,10-K,2025-12-12,2025-10-26,0001628280-25-056742,amat-20251026.htm,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AMAT,2026-03-16T16:58:33.370Z,ok
